일자,기온(°C),습도(%rh),체감온도(°C)
2005-05-19,22.6,46.2,22.5
2005-05-20,24.4,30.6,22.8
2005-05-21,22.9,22.7,20.6
2005-05-22,18.5,44.5,18.5
2005-05-23,20.1,49.2,20.4
2005-05-24,23.4,34.5,22.3
2005-05-25,24,35.3,22.9
2005-05-26,30.3,42.6,29.6
2005-05-27,26.4,35.8,25.2
2005-05-28,27.7,30.5,25.8
2005-05-29,29.7,28.5,27.4
2005-05-30,26.6,29.3,24.7
2005-05-31,26.6,23,23.9
2005-06-01,24,50.8,24.3
2005-06-02,22,63.4,23.3
2005-06-03,22.3,55.5,23
2005-06-04,23.6,55.9,24.3
2005-06-05,29.1,35.9,27.7
2005-06-06,27,41.1,26.3
2005-06-07,24.9,50.9,25.2
2005-06-08,27.8,43.5,27.3
2005-06-09,27.8,40.5,27
2005-06-10,23.1,67.2,24.6
2005-06-11,26.6,49.6,26.7
2005-06-12,27.4,46.6,27.2
2005-06-13,31.3,33.6,29.6
2005-06-14,31.9,34.7,30.3
2005-06-15,24.4,53.5,24.8
2005-06-16,25.1,54,25.6
2005-06-17,26.3,50.6,26.5
2005-06-18,27.2,52.8,27.5
2005-06-19,29.1,43.2,28.5
2005-06-20,28.9,51.7,29.1
2005-06-21,29.1,47,28.9
2005-06-22,29.2,48.1,29.1
2005-06-23,30.6,44.4,30.1
2005-06-24,31.7,46.6,31.3
2005-06-25,29.2,49.5,29.2
2005-06-26,29.1,57,29.8
2005-06-27,24.1,96.1,27.7
2005-06-28,28,55.3,28.5
2005-06-29,24.4,92.7,27.8
2005-06-30,31.1,52.8,31.4
2005-07-01,26.5,66.9,28
2005-07-02,26.1,80.3,28.6
2005-07-03,23.5,93.7,26.9
2005-07-04,28.7,56.5,29.4
2005-07-05,26.2,65.8,27.6
2005-07-06,28.2,60.4,29.2
2005-07-07,28.2,59.3,29.1
2005-07-08,28.8,59.1,29.7
2005-07-09,23.7,80.9,26.2
2005-07-10,26.1,68.7,27.8
2005-07-11,23.4,83.3,26
2005-07-12,27,57.9,27.8
2005-07-13,25.7,73.1,27.7
2005-07-14,29.1,59.2,30
2005-07-15,29.8,58,30.6
2005-07-16,29.1,64.9,30.5
2005-07-17,26.4,75.7,28.6
2005-07-18,31.1,56.5,31.7
2005-07-19,30.6,61.3,31.7
2005-07-20,31.6,60.2,32.6
2005-07-21,32.4,56.3,33
2005-07-22,34.2,54.1,34.6
2005-07-23,33.8,54.8,34.3
2005-07-24,33.3,55.7,33.8
2005-07-25,30.7,63.1,31.9
2005-07-26,32.1,52.5,32.4
2005-07-27,29.4,65.6,30.8
2005-07-28,25.9,79.8,28.4
2005-07-29,28.4,63.5,29.6
2005-07-30,29.4,60.3,30.4
2005-07-31,30.2,58.9,31.1
2005-08-01,26.9,76.9,29.2
2005-08-02,29,72.7,31
2005-08-03,27.8,70.2,29.6
2005-08-04,32.3,56.2,32.9
2005-08-05,33.9,53.4,34.2
2005-08-06,34.2,52,34.4
2005-08-07,30.1,61.6,31.2
2005-08-08,30.2,65.3,31.6
2005-08-09,29.1,63.8,30.4
2005-08-10,27.9,79.2,30.4
2005-08-11,26.8,84.2,29.6
2005-08-12,26.9,82.2,29.6
2005-08-13,29.9,66.3,31.4
2005-08-14,31,60.5,32
2005-08-15,31.4,61.5,32.5
2005-08-16,32.9,52.5,33.2
2005-08-17,32.3,60.7,33.3
2005-08-18,30,62.4,31.2
2005-08-19,22.8,88.3,25.8
2005-08-20,28.2,54.4,28.7
2005-08-21,28.3,52.2,28.6
2005-08-22,26,59.7,27
2005-08-23,29.2,38.2,28.1
2005-08-24,23.4,54.4,24
2005-08-25,18.4,93.8,21.7
2005-08-26,25.3,61.6,26.4
2005-08-27,27.9,60.2,28.8
2005-08-28,27.3,59,28.2
2005-08-29,29,52.7,29.3
2005-08-30,28,59.3,28.9
2005-08-31,31.1,48.6,31
2005-09-01,30,64.7,31.4
2005-09-02,27.5,72.6,29.5
2005-09-03,26.5,57.5,27.3
2005-09-04,25.9,54.3,26.4
2005-09-05,27.3,39,26.4
2005-09-06,25.8,46.1,25.6
2005-09-07,27.8,48.1,27.7
2005-09-08,28.3,53.4,28.7
2005-09-09,23.8,75.9,25.9
2005-09-10,28.2,58.7,29.1
2005-09-11,30.6,48.6,30.5
2005-09-12,29,57.5,29.7
2005-09-13,24.4,79.1,26.8
2005-09-14,24.7,56.2,25.4
2005-09-15,26.8,40.9,26.1
2005-09-16,26.6,53.2,27
2005-09-17,23.5,87.8,26.5
